,in_reply_to_user_id_str,full_text,id,in_reply_to_screen_name,in_reply_to_user_id,source_url,in_reply_to_status_id_str,favorite_count,lang,source,retweet_count,id_str,in_reply_to_status_id,user,created_time
212,,RT @lorrainejames: The Park Theatre sells #vegan milkshakes! Haven't tried it yet.  http://myloc.me/hh75M http://myloc.me/hh7dJ,32573349179695104,,,http://www.ubertwitter.com/bb/download.php,,0,en,ÜberSocialOrig,0,32573349179695104,,wpgveganmeetup,2011-02-01 22:57:46
213,,Cleaning 2 dw's/2 fridges/double ovens/pantry/planning on down$izing/can't happen yet/2 sets #IVF twins/ #kosher/ #vegan=not always easy.,32571274463027200,,,http://twitter.com,,0,en,Twitter Web Client,0,32571274463027200,,ZenJudyism,2011-02-01 22:49:31
214,,"RT @crystalcattle: RT @JeffFowle People R free 2 choose diet, but please consult w/ MD's & farmers, not a journalist & a celebrity. #opr ...",32573136327151616,,,http://seesmic.com/,,0,en,Seesmic,6,32573136327151616,,HannahNFryer,2011-02-01 22:56:55
215,,RT @quarrygirl: buyer beware: whole foods is selling non-vegetarian gummy bears that are mislabeled & seemingly vegan. http://bit.ly/hUDtoV,32573528045789184,,,https://about.twitter.com/products/tweetdeck,,0,en,TweetDeck,0,32573528045789184,,hellobesu,2011-02-01 22:58:28
216,108460140,"@Emily_Chandler let's see croissants, pain au chocolat, muffins, currant scones (vegan too) & you know . . .yummy lattes",32573363465490432,Emily_Chandler,108460140.0,http://twitter.com,,0,en,Twitter Web Client,0,32573363465490432,,revelstratford,2011-02-01 22:57:49
217,,"RT @VeganTweeter: So @Cargill keeps cows quiet/calm before a 4"" bolt is shot through their skulls. Should rapists take victims to dinner ...",32572292584177665,,,http://stone.com/Twittelator,,0,en,Twittelator,3,32572292584177665,,moonbunny_txt,2011-02-01 22:53:34
218,,"RT @agchick: Careful, #agchat, that tonight's convo doesn't turn to 'turning' #vegan back. Approach should be to convo w/ interested fen ...",32573300097945600,,,http://twitter.com,,0,en,Twitter Web Client,2,32573300097945600,,KempEquine,2011-02-01 22:57:34
219,,Got my samples from @chicagosoydairy today! #vegan #testkitchen http://t.co/ZpEZz2j,32572218382753793,,,http://twitter.com/download/android,,0,en,Twitter for Android,0,32572218382753793,,sabrosa505,2011-02-01 22:53:16
220,,"Excited to head home to watch the oprah episode today. Its on living a vegan lifestyle. Not going Vegan, but it will help make better",32572704968146944,,,http://twitter.com,,0,en,Twitter Web Client,0,32572704968146944,,SaraAG,2011-02-01 22:55:12
221,,Watching Oprah. It's about eating vegan. I could never do that...,32572569395658752,,,http://www.echofon.com/,,0,en,Echofon,0,32572569395658752,,RiRi2514,2011-02-01 22:54:40
222,,RT @HostJacqueline: Could you give up meat & animal products for 1 day a week? Or go #vegan all together? #Oprah today is very thought p ...,32572969196720128,,,http://twitter.com,,0,en,Twitter Web Client,2,32572969196720128,,AmandaFITCHICK,2011-02-01 22:56:15
223,,Just added a new blog post on Goddesses Of Divine Destiny-OPRAH GO VEGAN - TAKE THE CHALLENGE http://ning.it/dE1LhE,32572553981591552,,,http://www.girlfriendsshoppingnetwork.com,,0,en,Girlfriends App,0,32572553981591552,,flavawear,2011-02-01 22:54:36
224,,RT @quarrygirl buyer beware: whole foods is selling non-vegetarian gummy bears that are mislabeled and seemingly vegan. http://bit.ly/hUDtoV,32573560157372416,,,http://twitter.com,,1,en,Twitter Web Client,1,32573560157372416,,vegansumer,2011-02-01 22:58:36
225,,RT @xritaballoux: All this vegan shit on Oprah is gonna her her sued by the beef peeps again. It all just makes me want a ribeye....,32572590568509441,,,http://twitter.com,,0,en,Twitter Web Client,2,32572590568509441,,Gizzy___,2011-02-01 22:54:45
226,,I kinda want to do this vegan challenge..,32572331607986176,,,http://twitter.com/download/iphone,,0,en,Twitter for iPhone,0,32572331607986176,,KarlJonzu,2011-02-01 22:53:43
227,,I think I'm going to try and go vegan! !!!,32571529438957568,,,http://twitter.com/download/android,,0,en,Twitter for Android,0,32571529438957568,,MainlyMyself,2011-02-01 22:50:32
228,,"Need Omega-3's?  we got great deals on a wide range of Fish and Vegan Omega's... Nordic Naturals, New Chapter,... http://fb.me/QIwbbHhX",32573452460228608,,,http://www.facebook.com/twitter,,0,en,Facebook,0,32573452460228608,,HealthwayFoods,2011-02-01 22:58:10
229,,"ummmm....I don't think so! Lol RT @livelovekia: does eating taco bell count as kinda vegan, since that's not meat lol",32572104704524288,,,http://www.ubertwitter.com/bb/download.php,,0,en,ÜberSocialOrig,0,32572104704524288,,BHenderson29,2011-02-01 22:52:49
230,,RT @michaelpollan: I'm on Oprah today with a vegan and a slaughterhouse plant manager.  http://p2.to/17j9,32572167652638720,,,http://twitter.com/download/iphone,,0,en,Twitter for iPhone,170,32572167652638720,,ke_robertson,2011-02-01 22:53:04
231,,RT @roryfreedman I'm excited new Dietary Guidelines for Americans highlight #vegetarian & #vegan diets! http://ow.ly/3OmS7,32571225016369152,,,http://www.cloudhopper.com/,,0,en,Twitter SMS,0,32571225016369152,,cleaninggirl,2011-02-01 22:49:19
232,,I don't think I'll ever eat meat again... but occasionally I do crave a juicy burger and a over easy egg.  #oprah #vegan,32571774386311168,,,https://about.twitter.com/products/tweetdeck,,0,en,TweetDeck,0,32571774386311168,,KimBondy,2011-02-01 22:51:30
233,,I eat #Vegan food too #Oprah! Nice veggies everytime I have a #steak! #agchat,32573489302994944,,,https://about.twitter.com/products/tweetdeck,,0,en,TweetDeck,1,32573489302994944,,beefrunner,2011-02-01 22:58:19
234,,This show makes me want to be a vegan. #Oprah,32571789125095424,,,http://www.ubertwitter.com/bb/download.php,,0,en,ÜberSocialOrig,0,32571789125095424,,phxbrooklyngirl,2011-02-01 22:51:34
235,,"Scared to watch @oprah!! Last time Kathy Freston and Michael Pollan were on, I went Vegan for 3 mths. very difficult. Would luv to be vegan",32571829558181888,,,http://blackberry.com/twitter,,0,en,Twitter for BlackBerry®,0,32571829558181888,,coliecato,2011-02-01 22:51:43
236,,Who is going vegan or vegetarian after watching Oprah?  So glad she has exposed the awful industry I've been telling you all about!,32572747875876864,,,http://www.echofon.com/,,0,en,Echofon,0,32572747875876864,,ChefCindi,2011-02-01 22:55:22
237,44518198,@TeraesaVinson i hope so. one of the staffers is now vegan because of it so it definitely was worth it,32572268794093568,OmItOut,44518198.0,https://about.twitter.com/products/tweetdeck,32572111054700544,0,en,TweetDeck,0,32572268794093568,3.2572111054700544e+16,ladynicole,2011-02-01 22:53:28
238,,I have been eating a lot of vegan food lately O_o,32571752529788929,,,http://twitter.com/download/android,,0,en,Twitter for Android,0,32571752529788929,,A_Cherelle626,2011-02-01 22:51:25
239,,I could never do the vegan thing I love eggs and the stuff that's made with em...or vegetarian I love ribs!!,32572735171330048,,,http://www.ubertwitter.com/bb/download.php,,0,en,ÜberSocialOrig,0,32572735171330048,,Shellishells,2011-02-01 22:55:19
240,37072677,@MarusWrld I can be vegetarian!  Vegan not so sure,32572697556815873,MarusWrld,37072677.0,http://twidroyd.com,,0,en,twidroyd (original),0,32572697556815873,,RoseLibra,2011-02-01 22:55:10
241,39506962,"@Charlestonlocal I thought it was a great show & should get people thinking. I didn't like when ppl who can't cook were like ""eww vegan"".",32572228109336576,Charlestonlocal,39506962.0,http://twitter.com,32563100553060352,0,en,Twitter Web Client,0,32572228109336576,3.256310055306035e+16,theDirtyVegan,2011-02-01 22:53:19
242,,buyer beware: whole foods is selling non-vegetarian gummy bears that are mislabeled and seemingly vegan. http://bit.ly/hUDtoV,32573105842954240,,,https://about.twitter.com/products/tweetdeck,,0,en,TweetDeck,8,32573105842954240,,quarrygirl,2011-02-01 22:56:48
243,,Today's #Oprah about the vegan diet. Very interesting! #health,32571935938322432,,,http://twitter.com,,0,en,Twitter Web Client,0,32571935938322432,,KhouryNicole,2011-02-01 22:52:09
244,,So many of my fave vegan foods were on Oprah today! I made a twitter list of vegan food companies for those interested in following them :),32572940985827329,,,http://twitter.com,,0,en,Twitter Web Client,0,32572940985827329,,theDirtyVegan,2011-02-01 22:56:08
245,,"Q: How Do You Know When A Vegan Is Coming Over For Dinner?: A: Oh, they'll let you know!
Sorry, not funny! Also,... http://bit.ly/ff1XYB",32572599808561152,,,http://twitterfeed.com,,0,en,twitterfeed,0,32572599808561152,,StrangerSlogRss,2011-02-01 22:54:47
246,,Dinner tonight: YUMMY vegan Quiche w/spinach... and kale... and salad... and WINE  :-),32572721137188865,,,https://about.twitter.com/products/tweetdeck,,0,en,TweetDeck,0,32572721137188865,,PatrickVeg,2011-02-01 22:55:16
247,,RT @dennis_q: It was a real challenge for me to keep eating meat. Not a challenge at all to be Vegan. Fuck Oprah. Fuck you.,32573101778673665,,,http://www.hootsuite.com,,0,en,Hootsuite,0,32573101778673665,,ParagonEarth,2011-02-01 22:56:47
248,,Sure I agree that being vegan can be very healthy but what kind of additives and processing come with all of these vegan alternatives?,32571300861972480,,,http://www.ubertwitter.com/bb/download.php,,0,en,ÜberSocialOrig,0,32571300861972480,,marissayennie,2011-02-01 22:49:37
