,full_text,created_at
0,pregnant woman offer pfizer moderna vaccine say uk advisory committee,2021-04
1,covid vaccine safe pregnant woman lieoriginal advice pregnancy exclude befor,2021-04
2,accord observer,2021-04
3,university oxford develop vaccine alongside astrazeneca approve emergency use,2021-04
4,woman three brain surgery due blood clot jampj vaccine via,2021-04
5,abject nonsense say plenty policy area outwith competence,2021-04
6,originally u hospitalitywith big name operator sign charter state accept v,2021-04
7,delusional nicola sturgeon refuse credit union vaccine success,2021-04
8,government data show report adverse reaction jab132000 pfizer astra zeneca th,2021-04
9,woman three brain surgery due blood clot jampj vaccine via,2021-04
10,authority manage activate powerful primitive human emotion brit cause one incapable rational thought fear,2021-04
11,covid19 pregnant woman offer pfizer moderna vaccine say uk advisory committee,2021-04
12,also news israel,2021-04
13,possible link vaccine blood clot european regulator find via,2021-04
14,originally u hospitalitywith big name operator sign charter state accept v,2021-04
15,indian tourist travel u w covid test one large,2021-04
16,16 amp,2021-04
17,early figure ukfor every patient admit hospital covid vaccine least,2021-04
18,nhs send texts people invite book covid19 vaccine appointment may come local nh,2021-04
19,work move towards young demographic want first provide data less,2021-04
20,nia de aos que form parte de los ensayos clnicos que se estn llevando cabo en nios partir de los me lamen,2021-04
21,authority manage activate powerful primitive human emotion brit cause one b,2021-04
22,thousand retweets imply x surge b1617 variant related school opening ukand rise despite vac,2021-04
23,pfizer covid vaccine child trial kill yearold girl via,2021-04
24,people get pfizer vaccine israel later develop shingle via,2021-04
25,pfizer covid vaccine child trial kill yearold girl via,2021-04
26,michael gove visit israel study covid green pas smartphone app could soon model vaccine p,2021-04
27,vaccine uptake triple among ethnic minority community since february say dr nikki kanani medical director,2021-04
28,az pfiser comparison,2021-04
29,two year old die pfizer covid vaccinewe devastate report two year old girl sad,2021-04
30,shingle may rare side effect pfizerbiontech coronavirus vaccine new study claim researcher israel find people certain autoimmune disease likely develop herpes zoster compare without,2021-04
31,well bit spicy tv debatesa visibly furious nicola sturgeon hustings insists ind,2021-04
32,one extremely rich powerful person die covid despite two vaccine jab see uk adopt,2021-04
33,boy rattle truth matter shes really nothing success vaccination programme thats boris shed indy itd year get vaccine thank god still part uk well together,2021-04
34,go vaccine uk statistically people die vaccine uk,2021-04
35,one extremely rich powerful person die covid despite two vaccine jab see uk adopt,2021-04
36,pfizer covid vaccine child trial kill yearold girl daily expose,2021-04
37,early figure ukfor every patient admit hospital covid vaccine least,2021-04
38,well bit spicy tv debatesa visibly furious nicola sturgeon hustings insists ind,2021-04
39,uk record covid death possible blood clot link discover another vaccine even standard,2021-04
40,vaccine source eu procurement usuk vc investmentsukuseu,2021-04
41,new guidance green book covid19 vaccination patient previous thrombosis amp throm,2021-04
42,well bit spicy tv debatesa visibly furious nicola sturgeon hustings insists ind,2021-04
43,uk severe adverse reaction case pfizer jab,2021-04
44,authority manage activate powerful primitive human emotion brit cause one b,2021-04
45,well bit spicy tv debatesa visibly furious nicola sturgeon hustings insists ind,2021-04
